&bc
headings_d ='timestep',          'time',          'pf',          'amm',          'nit',                    'frp',                    'no2',                    'salinity',                    'so4',                    'dic',                    'h2s',                    'n2o'
                                    90,                    90,                    386,                    35.064,                    42,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    91,                    91,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    92,                    92,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    93,                    93,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    94,                    94,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    95,                    95,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    96,                    96,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    97,                    97,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    98,                    98,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    99,                    99,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    100,                    100,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    101,                    101,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    102,                    102,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    103,                    103,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    104,                    104,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    105,                    105,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    106,                    106,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    107,                    107,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    108,                    108,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    109,                    109,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
                                    110,                    110,                    396,                    34.373,                    43,                    0.079,                    4,                    28000,                    22302,                    3955,                    0,                    0,                    
